sourcedId,status,dateLastModified,title,grades,courseSourcedId,classCode,classType,location,schoolSourcedId,termSourcedIds,subjects,subjectCodes,periods
454591.106.1.4,,,US Hist,"09,10,11,12",454591,106,scheduled,,79907001,2020.001.YR.YR.1.4,,,
454591.L04.3.4,,,US Hist,"09,10,11,12",454591,L04,scheduled,,79907001,2020.001.YR.YR.3.4,,,
454592.EV3.3.3,,,US Govt,"09,10,11,12",454592,EV3,scheduled,,79907001,2020.001.QT.Q3.3.3,,,
454593.EV4.4.4,,,Econo,"09,10,11,12",454593,EV4,scheduled,,79907001,2020.001.QT.Q4.4.4,,,
454596.302.3.3,,,Econo,"09,10,11,12",454596,302,scheduled,,79907001,2020.001.QT.Q3.3.3,,,
454596.L07.2.2,,,Econo,"09,10,11,12",454596,L07,scheduled,,79907001,2020.001.QT.Q2.2.2,,,
454613.002.1.4,,,AVID I,"09,10,11,12",454613,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454613.002.3.4,,,AVID I,"09,10,11,12",454613,2,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454614.003.1.4,,,AVID II,"09,10,11,12",454614,3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454614.006.1.4,,,AVID II,"09,10,11,12",454614,6,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454615.003.1.2,,,AVID III,"09,10,11,12",454615,3,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454615.003.1.4,,,AVID III,"09,10,11,12",454615,3,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454615.006.1.4,,,AVID III,"09,10,11,12",454615,6,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454615.006.3.4,,,AVID III,"09,10,11,12",454615,6,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454616.002.1.2,,,AVID IV,"09,10,11,12",454616,2,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454616.002.1.4,,,AVID IV,"09,10,11,12",454616,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454616.005.1.4,,,AVID IV,"09,10,11,12",454616,5,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454619.001.1.4,,,Architectural Design I,"10,11,12",454619,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454621.001.1.2,,,"Prin of Agri, Food & Nat Res","09,10,11",454621,1,scheduled,,79907002,2020.002.YR.YR.1.2,,,
454621.001.1.4,,,"Prin of Agri, Food & Nat Res","09,10,11",454621,1,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454621.001.3.4,,,"Prin of Agri, Food & Nat Res","09,10,11",454621,1,scheduled,,79907002,2020.002.YR.YR.3.4,,,
454621.002.1.4,,,"Prin of Agri, Food & Nat Res","09,10,11",454621,2,scheduled,,79907002,2020.002.YR.YR.1.4,,,
454622.001.1.2,,,Livestock Production,"10,11",454622,1,scheduled,,79907002,2020.002.YR.YR.1.2,,,
